Date,Open,High,Low,Close,Volume
08/07/2024,"53.15","53.49","52.15","52.29","18,407,500"
08/06/2024,"52.28","52.96","52.05","52.36","18,723,461"
08/05/2024,"51.30","52.40","50.15","52.12","28,594,010"
08/02/2024,"55.18","55.57","52.80","53.26","27,642,570"
08/01/2024,"59.26","59.34","56.52","56.88","17,752,740"
07/31/2024,"59.82","60.12","59.20","59.34","11,535,810"
07/30/2024,"60.46","60.73","59.89","60.01","11,503,930"
07/29/2024,"60.74","60.83","59.35","59.59","8,986,171"
07/26/2024,"59.85","60.45","59.57","60.39","12,538,940"
07/25/2024,"59.56","60.73","59.45","59.70","14,119,570"
07/24/2024,"59.77","60.21","59.37","59.44","10,777,080"
07/23/2024,"59.20","59.91","59.04","59.67","10,927,820"
07/22/2024,"59.26","59.39","58.54","59.14","13,638,600"
07/19/2024,"59.30","59.77","59.11","59.23","12,362,830"
07/18/2024,"60.62","60.82","58.99","59.24","17,739,020"
07/17/2024,"60.16","61.00","59.89","60.91","17,371,090"
07/16/2024,"58.04","60.62","57.53","60.24","25,577,340"
07/15/2024,"57.05","58.24","57.04","57.73","27,277,289"
07/12/2024,"56.20","56.92","55.60","56.54","53,042,762"
07/11/2024,"59.40","60.71","59.28","60.16","16,852,840"
07/10/2024,"59.54","59.99","59.38","59.72","12,097,210"
07/09/2024,"59.08","60.42","58.92","59.88","12,238,280"
07/08/2024,"59.97","60.41","58.66","59.01","12,480,000"
07/05/2024,"60.50","60.66","59.11","59.62","11,436,350"
07/03/2024,"61.00","61.14","60.16","60.66","6,698,813"
07/02/2024,"60.49","61.18","60.14","60.97","9,543,675"
07/01/2024,"59.61","60.61","59.57","60.59","14,470,400"
06/28/2024,"58.09","59.45","58.09","59.39","31,074,471"
06/27/2024,"56.41","57.47","56.33","57.42","13,832,250"
06/26/2024,"57.22","57.80","56.83","57.01","30,425,650"
06/25/2024,"58.77","59.00","57.18","57.20","27,490,699"
06/24/2024,"58.49","59.46","58.27","59.01","16,198,330"
06/21/2024,"58.30","58.46","57.32","58.10","62,733,160"
06/20/2024,"58.74","59.20","58.59","58.96","11,985,690"
06/18/2024,"58.21","59.05","57.90","59.05","15,547,400"
06/17/2024,"57.21","58.25","57.07","58.24","18,361,141"
06/14/2024,"56.99","57.61","56.62","57.40","15,375,350"
06/13/2024,"57.45","57.62","56.69","57.27","15,963,720"
06/12/2024,"58.28","58.45","57.16","57.30","16,929,801"
06/11/2024,"57.75","57.75","56.51","57.13","19,197,811"
06/10/2024,"57.90","58.13","57.37","57.93","12,793,780"
06/07/2024,"57.57","58.68","57.57","58.36","14,466,850"
06/06/2024,"58.78","59.00","57.50","57.73","18,587,369"
06/05/2024,"58.86","58.92","58.13","58.68","11,199,140"
06/04/2024,"58.82","59.48","58.34","58.70","12,520,730"
06/03/2024,"60.20","60.20","58.60","59.34","13,206,550"
05/31/2024,"59.27","59.99","58.97","59.92","25,386,840"
05/30/2024,"58.82","59.39","58.60","59.21","13,584,810"
05/29/2024,"58.87","58.94","58.42","58.75","12,835,050"
05/28/2024,"59.97","60.18","59.19","59.48","11,276,270"
05/24/2024,"60.04","60.39","59.87","60.21","9,913,040"
05/23/2024,"60.75","60.78","59.36","59.68","13,056,310"
05/22/2024,"61.30","61.45","60.51","60.93","10,340,470"
05/21/2024,"60.82","61.70","60.78","61.46","18,422,119"
05/20/2024,"60.98","61.79","60.59","60.70","15,029,010"
05/17/2024,"61.41","61.63","60.89","61.08","15,795,960"
05/16/2024,"62.45","62.48","60.97","61.06","21,104,090"
05/15/2024,"62.20","62.55","61.87","62.34","17,489,600"
05/14/2024,"61.56","61.99","61.02","61.89","14,499,620"
05/13/2024,"61.96","62.17","61.21","61.26","15,203,470"
05/10/2024,"61.46","61.97","61.46","61.89","14,428,170"
05/09/2024,"60.74","61.37","60.48","61.28","14,224,340"
05/08/2024,"60.15","61.43","60.10","61.23","18,718,420"
05/07/2024,"60.28","60.61","60.06","60.26","16,268,430"
05/06/2024,"60.47","60.88","59.84","60.19","16,240,270"
05/03/2024,"60.03","60.26","59.12","59.94","17,298,461"
05/02/2024,"60.12","60.15","59.32","59.83","15,329,460"
05/01/2024,"59.58","60.15","59.33","59.52","16,366,620"
04/30/2024,"59.60","59.99","59.30","59.32","18,007,721"
04/29/2024,"59.86","60.30","59.36","59.80","15,343,630"
04/26/2024,"59.78","60.43","59.38","59.91","18,785,900"
04/25/2024,"60.61","60.96","59.60","59.93","24,002,551"
04/24/2024,"60.60","60.95","60.05","60.60","19,731,590"
04/23/2024,"61.17","61.76","60.81","60.94","21,731,240"
04/22/2024,"60.40","61.49","60.34","61.10","21,753,381"
04/19/2024,"59.00","60.85","58.86","60.35","34,334,320"
04/18/2024,"57.63","59.13","57.22","58.74","24,468,520"
04/17/2024,"56.88","57.63","56.65","57.18","18,867,721"
04/16/2024,"56.90","56.96","55.66","56.41","25,620,000"
04/15/2024,"57.61","57.98","56.74","56.97","19,407,520"
04/12/2024,"55.97","57.00","55.34","56.47","27,876,730"
04/11/2024,"56.98","57.00","55.63","56.69","18,995,590"
04/10/2024,"56.79","57.30","56.42","56.94","16,475,240"
04/09/2024,"57.70","57.99","56.87","57.58","10,645,950"
04/08/2024,"57.38","57.98","57.31","57.79","15,308,820"
04/05/2024,"56.63","57.62","56.57","57.40","11,080,970"
04/04/2024,"57.73","58.00","56.54","56.68","12,361,920"
04/03/2024,"57.20","57.96","56.85","57.13","13,226,480"
04/02/2024,"57.36","58.00","57.19","57.35","14,632,880"
04/01/2024,"57.88","57.88","57.26","57.61","11,039,470"
03/28/2024,"57.66","58.08","57.56","57.96","14,618,980"
